EQUNR;SERNR;MATNR;HERST;WERK;INBDT;BAUJJ;CHARGE;LVORM;EQKTX
LSGSA52M0CY182697;LSGSA52M0CY182697;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M0CY202172;LSGSA52M0CY202172;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M1EY233790;LSGSA52M1EY233790;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGHD52H8LD050329;LSGHD52H8LD050329;000000000000748927;;;00000000;2020;;;CHEVROLET SAIL
LSGHD52H8LD061170;LSGHD52H8LD061170;000000000000748927;;;00000000;1990;;;CHEVROLET SAIL
LSGHD54H2HD175640;LSGHD54H2HD175640;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
LSGHD54H5KD076236;LSGHD54H5KD076236;000000000000748927;;;00000000;2019;;;CHEVROLET SAIL
LSGHD54H9GD093211;LSGHD54H9GD093211;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGSA52M0CY231963;LSGSA52M0CY231963;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M1BY001556;LSGSA52M1BY001556;000000000000748927;;;00000000;2011;;;CHEVROLET SAIL
LSGSA52M1DY086319;LSGSA52M1DY086319;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M1DY103023;LSGSA52M1DY103023;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M1EY629992;LSGSA52M1EY629992;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M2BY118353;LSGSA52M2BY118353;000000000000748927;;;00000000;2011;;;CHEVROLET SAIL
LSGSA52M2BY118367;LSGSA52M2BY118367;000000000000748927;;;00000000;2011;;;CHEVROLET SAIL
LSGSA52M2BY118398;LSGSA52M2BY118398;000000000000748927;;;00000000;2011;;;CHEVROLET SAIL
LSGHD52HXMD148084;LSGHD52HXMD148084;000000000000748927;;;00000000;2021;;;CHEVROLET SAIL
LSGHD54H6FD319008;LSGHD54H6FD319008;000000000000748927;;;00000000;2015;;;CHEVROLET SAIL
LSGSA52M0CY286428;LSGSA52M0CY286428;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M1BY026425;LSGSA52M1BY026425;000000000000748927;;;00000000;2011;;;CHEVROLET SAIL
LSGSA52M1DY105063;LSGSA52M1DY105063;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M1DY128598;LSGSA52M1DY128598;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGHD52H9HD277267;LSGHD52H9HD277267;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
LSGSA52M0CY310887;LSGSA52M0CY310887;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M0DX023986;LSGSA52M0DX023986;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M0EY123085;LSGSA52M0EY123085;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M0EY137830;LSGSA52M0EY137830;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M1BY029874;LSGSA52M1BY029874;000000000000748927;;;00000000;2011;;;CHEVROLET SAIL
LSGSA52M1FY195334;LSGSA52M1FY195334;000000000000748927;;;00000000;2015;;;CHEVROLET SAIL
LSGSA52M2BY188550;LSGSA52M2BY188550;000000000000748927;;;00000000;2011;;;CHEVROLET SAIL
LSGSA52M2CX262907;LSGSA52M2CX262907;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M0DY024278;LSGSA52M0DY024278;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M1DY177106;LSGSA52M1DY177106;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M2CY043669;LSGSA52M2CY043669;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M2EY004325;LSGSA52M2EY004325;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M0DY058169;LSGSA52M0DY058169;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M1DY179759;LSGSA52M1DY179759;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M1DY200805;LSGSA52M1DY200805;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M1GY003640;LSGSA52M1GY003640;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGSA52M2CY120489;LSGSA52M2CY120489;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M2EY023876;LSGSA52M2EY023876;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGHD52H8LD165131;LSGHD52H8LD165131;000000000000748927;;;00000000;2020;;;CHEVROLET SAIL
LSGHD54H0GD166160;LSGHD54H0GD166160;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGHD54H0GD217267;LSGHD54H0GD217267;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGSA52M0DY103014;LSGSA52M0DY103014;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M0FY131432;LSGSA52M0FY131432;000000000000748927;;;00000000;2015;;;CHEVROLET SAIL
LSGSA52M1BY186403;LSGSA52M1BY186403;000000000000748927;;;00000000;2011;;;CHEVROLET SAIL
LSGSA52M1CY019329;LSGSA52M1CY019329;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M1DY202831;LSGSA52M1DY202831;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M2EY024736;LSGSA52M2EY024736;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M2EY024879;LSGSA52M2EY024879;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M2EY025062;LSGSA52M2EY025062;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGHD52HXKD024104;LSGHD52HXKD024104;000000000000748927;;;00000000;2019;;;CHEVROLET SAIL
LSGHD52HXKD025088;LSGHD52HXKD025088;000000000000748927;;;00000000;2019;;;CHEVROLET SAIL
LSGHD52HXKD027634;LSGHD52HXKD027634;000000000000748927;;;00000000;2019;;;CHEVROLET SAIL
LSGHD54H0JD031204;LSGHD54H0JD031204;000000000000748927;;;00000000;2018;;;CHEVROLET SAIL
LSGHD54HXFD319013;LSGHD54HXFD319013;000000000000748927;;;00000000;2015;;;CHEVROLET SAIL
LSGSA52H8DY037764;LSGSA52H8DY037764;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M0BY008398;LSGSA52M0BY008398;000000000000748927;;;00000000;2011;;;CHEVROLET SAIL
LSGSA52M0DY104700;LSGSA52M0DY104700;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M0DY157252;LSGSA52M0DY157252;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M1DY215840;LSGSA52M1DY215840;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M1DY216308;LSGSA52M1DY216308;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M1EY004106;LSGSA52M1EY004106;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M1GY011740;LSGSA52M1GY011740;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGSA52M2CY182538;LSGSA52M2CY182538;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M2CY183186;LSGSA52M2CY183186;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M2CY200827;LSGSA52M2CY200827;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M2CY230359;LSGSA52M2CY230359;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M8EY030170;LSGSA52M8EY030170;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M8EY030282;LSGSA52M8EY030282;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M8EY030721;LSGSA52M8EY030721;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M3DY103556;LSGSA52M3DY103556;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M3DY104139;LSGSA52M3DY104139;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M4BY163584;LSGSA52M4BY163584;000000000000748927;;;00000000;2011;;;CHEVROLET SAIL
LSGSA52M4DY202189;LSGSA52M4DY202189;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M5CY264165;LSGSA52M5CY264165;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M5CY285629;LSGSA52M5CY285629;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M5CY287056;LSGSA52M5CY287056;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M6BY001925;LSGSA52M6BY001925;000000000000748927;;;00000000;2011;;;CHEVROLET SAIL
LSGSA52M6DY160009;LSGSA52M6DY160009;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M7CY019917;LSGSA52M7CY019917;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M7CY065375;LSGSA52M7CY065375;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M8EY080728;LSGSA52M8EY080728;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M8EY080812;LSGSA52M8EY080812;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M8EY089297;LSGSA52M8EY089297;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M3DY105257;LSGSA52M3DY105257;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M4BY166856;LSGSA52M4BY166856;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M6BY027604;LSGSA52M6BY027604;000000000000748927;;;00000000;2011;;;CHEVROLET SAIL
LSGSA52M2EY122326;LSGSA52M2EY122326;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M3DY127016;LSGSA52M3DY127016;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M4CY043432;LSGSA52M4CY043432;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M4GY077683;LSGSA52M4GY077683;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGSA52M4GY084388;LSGSA52M4GY084388;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGSA52M5DY005855;LSGSA52M5DY005855;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M5DY024910;LSGSA52M5DY024910;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M5EY090813;LSGSA52M5EY090813;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M6BY085969;LSGSA52M6BY085969;000000000000748927;;;00000000;2015;;;CHEVROLET SAIL
LSGSA52M6DY179756;LSGSA52M6DY179756;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M6GY010440;LSGSA52M6GY010440;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGSA52M6GY010583;LSGSA52M6GY010583;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGSA52M7EY029821;LSGSA52M7EY029821;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M7GY062109;LSGSA52M7GY062109;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGSA52M7GY076818;LSGSA52M7GY076818;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGSA52M8CY312158;LSGSA52M8CY312158;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M8CYO641784;LSGSA52M8CYO641784;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M3DY159416;LSGSA52M3DY159416;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M3DY174742;LSGSA52M3DY174742;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M5DY036538;LSGSA52M5DY036538;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
