MATNR;MATKL;SPART;MFRNR;MFRPN;MEINS;LVORM;MAKTX;WERKS
000000000000919608;0005;M2;;;ST;;JD SWING MACHINE 2154G FORESTAL (BASE);1CD0
000000000000919781;0005;M4;0000100005;PF90591;ST;;JD kit conector ISO BUS para implemento;1CD0
000000000000920112;0005;M4;;;ST;;JD SUSCRIPCIÓN JD LINK CONNECT 1 AÑO;1CD0
000000000000920113;0005;M4;;;ST;;JD SUSCRIPCIÓN JD LINK CONNECT 2 AÑOS;1CD0
000000000000920114;0005;M4;;;ST;;JD SUSCRIPCIÓN JD LINK CONNECT 3 AÑOS;1CD0
000000000000918246;0005;M4;;;ST;;JD MOWER DECK 60" PARA 1550;1CD0
000000000000917103;0005;M4;;7320PC;ST;;JD radio RTK 450 MHZ para receptores SF;1CD0
000000000000917104;0005;M4;;7307PC;ST;;JD ACT RTK REC SF 6000 SEÑAL DIF SF3 RDY;1CD0
000000000000917105;0005;M4;;070FPC;ST;;JD monitor gen 4 4640;1CD0
000000000000917927;0005;M4;;;ST;;JD 1570;1CD0
000000000000923802;0005;M2;;;ST;;JD HARVESTER ORUGAS 959MH CON HTH624C;1CD0
000000000000924272;0005;M2;;;ST;;JD SKIDDER 768L;1CD0
000000000000922940;0005;M2;;;ST;;JD HARVESTER ORUGAS 959MH CON HTH623C;1CD0
000000000000921705;0005;M4;;;ST;;JD 673 para 6E Mexico 3 Fun Protec;1CD0
000000000000922418;0005;M4;;;ST;;JD 1550;1CD0
000000000000921174;0005;M2;;;ST;;JD CABEZAL H415;1CD0
000000000000921175;0005;M2;;;ST;;JD SHOVEL LOGGER 959ML SIN CABEZAL;1CD0
000000000000884985;0005;M4;0000100005;57BM21816I;ST;;JD KIT DE MULCH- Z335E;1CD0
000000000000917674;0005;M4;;;ST;;JD RECOLECTOR-Z335E;1CD0
000000000000915777;0005;M4;;;ST;;JD SUSCRIPCIÓN SEÑAL SFE POR 3 MESES;1CD0
000000000000915779;0005;M4;;;ST;;JD SUSCRIPCIÓN SEÑAL SF3 POR 12 MESES;1CD0
000000000000793414;0005;M4;;;ST;;JD GATOR TH 6X4;1CD0
000000000000913209;0005;M2;;;ST;;JD FELLER ORUGAS 959M CON FR27;1CD0
000000000000784486;0005;M4;;;ST;;JD Tractor 5075E OOS;1CD0
000000000000784490;0005;M4;;;ST;;JD Tractor 5725 CAB;1CD0
000000000000784492;0005;M4;;;ST;;JD Tractor 5045E OOS;1CD0
000000000000784493;0005;M4;;;ST;;JD Tractor 5065E OOS 4x4;1CD0
000000000000784502;0005;M4;;;ST;;JD Tractor 6603 OOS;1CD0
000000000000784504;0005;M4;;;ST;;JD Tractor 6110D OOS;1CD0
000000000000784505;0005;M4;;;ST;;JD Tractor 6110D CAB;1CD0
000000000000784506;0005;M4;;;ST;;JD Tractor 6125D OOS;1CD0
000000000000784507;0005;M4;;;ST;;JD Tractor 6125D CAB;1CD0
000000000000784508;0005;M4;;;ST;;JD Tractor 6110J CAB;1CD0
000000000000784510;0005;M4;;;ST;;JD Tractor 6145J CAB;1CD0
000000000000784512;0005;M4;;;ST;;JD Tractor 6165J CAB;1CD0
000000000000784514;0005;M4;;;ST;;JD Tractor 7225J CAB;1CD0
000000000000792978;0005;M4;;;ST;;JD Tractor 7210J CAB;1CD0
000000000000792985;0005;M4;;;ST;;JD Z445M;1CD0
000000000000840021;0005;M4;;;ST;;JD Tractor 5075E CAB;1CD0
000000000000846229;0005;M4;0000100005;BM20566;ST;;JD Vertical Cutter;1CD0
000000000000848350;0005;M4;;;ST;;JD Tractor 5045D OOS;1CD0
000000000000851083;0005;M4;;;ST;;JD Tractor 6140M - Estandar;1CD0
000000000000851084;0005;M4;;;ST;;JD Tractor 6175M FULL, JD LINK CONNECT;1CD0
000000000000851087;0005;M4;;;ST;;JD X384 - Mower 48"" - 22 HP";1CD0
000000000000852766;0005;M4;;;ST;;JD UPGRADE SF3 RDY PARA SF 6000 CON SF1;1CD0
000000000000853023;0005;M4;;;ST;;JDL.C.+RDA 1AÑO COSECH.70STS C/ GS3 2630;1CD0
000000000000853043;0005;M4;;;ST;;JD Tractor 5082 CAB;1CD0
000000000000857120;0005;M4;;;ST;;JD Tractor 5092EN Cab;1CD0
000000000000857336;0005;M4;;;ST;;JD Tractor 6125D CAB 24x12 Radial +CPESO;1CD0
000000000000855705;0005;M4;0000100005;57BG20748I;ST;;JD Turbina  tr Jardín X384 (BG20748);1CD0
000000000000861290;0005;M4;;;ST;;JD Tractor 5085GL OOS;1CD0
000000000000861311;0005;M4;;;ST;;JD Tractor 5085GN CAB;1CD0
000000000000861312;0005;M4;;;ST;;JD Tractor 5075GN CAB;1CD0
000000000000861313;0005;M4;;;ST;;JD Tractor 5085GV CAB;1CD0
000000000000862264;0005;M4;;;ST;;JD Tractor 6195M;1CD0
000000000000861047;0005;M4;;;ST;;JD Tractor 6175M AMS FULL;1CD0
000000000000861062;0005;M4;;;ST;;JD Tractor 5065E FRUTERIZADO;1CD0
000000000000864082;0005;M4;;;ST;;JD Tractor 6115J TRA CAB;1CD0
000000000000874701;0005;M4;;;ST;;JD Tractor 5065E HORTALICERO;1CD0
000000000000879177;0005;M4;;;ST;;JD Tractor 6195M W.(LEVANTE Y PTO);1CD0
