MATNR;MATKL;SPART;MFRNR;MFRPN;MEINS;LVORM;MAKTX;WERKS
000000000000941557;0103;R0;0000100157;07RE15590I;ST;;TORNILLO;1CD0
000000000000941558;0103;R0;0000100157;07T108221I;ST;;TORNILLO;1CD0
000000000000941568;0103;R0;0000100157;07T341460I;ST;;TORNILLO;1CD0
000000000000942054;0103;R0;0000100157;07R107975I;ST;;TORNILLO;1CD0
000000000000942490;0103;R0;0000100157;07T232251I;ST;;TORNILLO;1CD0
000000000000942491;0103;R0;0000100157;07H212944I;ST;;TORNILLO;1CD0
000000000000942567;0103;R0;0000100157;0703M7661I;ST;;TORNILLO;1CD0
000000000000942211;0103;R0;0000100157;07M147256I;ST;;TORNILLO;1CD0
000000000000939025;0103;R0;0000100157;07M139083I;ST;;TORNILLO;1CD0
000000000000939037;0103;R0;0000100157;0719M8012I;ST;;TORNILLO;1CD0
000000000000939083;0103;R0;0000100157;07R281498I;ST;;TORNILLO;1CD0
000000000000939741;0103;R0;0000100157;07ER021647I;ST;;TORNILLO;1CD0
000000000000939932;0103;R0;0000100157;0737M7372I;ST;;TORNILLO;1CD0
000000000000939281;0103;R0;0000100157;0719H3215I;ST;;TORNILLO;1CD0
000000000000939976;0103;R0;0000100157;07R207832I;ST;;TORNILLO;1CD0
000000000000939992;0103;R0;0000100157;0737M7358I;ST;;TORNILLO;1CD0
000000000000940013;0103;R0;0000100157;07L209734I;ST;;TORNILLO;1CD0
000000000000940016;0103;R0;0000100157;07L213847I;ST;;TORNILLO;1CD0
000000000000940042;0103;R0;0000100157;07L173805I;ST;;TORNILLO;1CD0
000000000000940114;0103;R0;0000100157;0737M7527I;ST;;TORNILLO;1CD0
000000000000938624;0103;R0;0000100157;0719M9977I;ST;;TORNILLO;1CD0
000000000000938708;0103;R0;0000100157;07ER020744I;ST;;TORNILLO;1CD0
000000000000938739;0103;R0;0000100157;07CE21360I;ST;;TORNILLO;1CD0
000000000000948144;0103;R0;0000100157;0737M7284I;ST;;TORNILLO;1CD0
000000000000948493;0103;R0;0000100157;07HXE97108I;ST;;TORNILLO;1CD0
000000000000944479;0103;R0;0000100157;07ER020796I;ST;;TORNILLO;1CD0
000000000000946564;0103;R0;0000100157;07R566123I;ST;;TORNILLO;1CD0
000000000000946622;0103;R0;0000100157;0719M8487I;ST;;TORNILLO;1CD0
000000000000946716;0103;R0;0000100157;07L153131I;ST;;TORNILLO;1CD0
000000000000946876;0103;R0;0000100157;07SU59264I;ST;;TORNILLO;1CD0
000000000000947023;0103;R0;0000100157;07R223482I;ST;;TORNILLO;1CD0
000000000000947045;0005;R0;0000100005;07GX22308I;ST;;TORNILLO;1CD0
000000000000947737;0103;R0;0000100157;0703H1931I;ST;;TORNILLO;1CD0
000000000000947742;0103;R0;0000100157;0719H2627I;ST;;TORNILLO;1CD0
000000000000947476;0103;R0;0000100157;078944707710I;ST;;TORNILLO;1CD0
000000000000947401;0103;R0;0000100157;07L224274I;ST;;TORNILLO;1CD0
000000000000945443;0103;R0;0000100157;07L208465I;ST;;TORNILLO;1CD0
000000000000943071;0103;R0;0000100157;0719M7769I;ST;;TORNILLO;1CD0
000000000000943990;0103;R0;0000100157;07GX10440I;ST;;TORNILLO;1CD0
000000000000944777;0103;R0;0000100157;07J921600I;ST;;TORNILLO;1CD0
000000000000944778;0103;R0;0000100157;07R134071I;ST;;TORNILLO;1CD0
000000000000943340;0103;R0;0000100157;074373463I;ST;;TORNILLO;1CD0
000000000000944997;0103;R0;0000100157;07T300541I;ST;;TORNILLO;1CD0
000000000000945826;0103;R0;0000100157;07M131298I;ST;;TORNILLO;1CD0
000000000001003816;0103;R0;0000100157;07SU50039I;ST;;TORNILLO;1CD0
000000000001003873;0103;R0;0000100157;07R558731I;ST;;TORNILLO;1CD0
000000000001004908;0103;R0;0000100157;0722M7134I;ST;;TORNILLO;1CD0
000000000001005310;0103;R0;0000100157;07R556654I;ST;;TORNILLO;1CD0
000000000001005458;0103;R0;0000100157;07TCU17188I;ST;;TORNILLO;1CD0
000000000001005940;0103;R0;0000100157;07ER191643I;ST;;TORNILLO;1CD0
