VBELN;POSNR;FKART;FKDAT;RFBSK;FKSTO;VBTYP;ERDAT;MATNR;NETWR;MWSBP;MATKL;CHARG;SELLER_ID;SELLER_NOMBRE;SELLER_APELLIDO
0900417732;000030;ZDRP;20260302;C;;P;20260302;000000000001034573;6122.80;1163.33;0034;;;;
0900417732;000040;ZDRP;20260302;C;;P;20260302;000000000001057682;407.43;77.41;0024;;;;
0900417732;000060;ZDRP;20260302;C;;P;20260302;000000000000918918;2865.31;544.41;0034;;;;
0900417732;000070;ZDRP;20260302;C;;P;20260302;000000000000860509;22.76;4.32;0034;;;;
0900417732;000080;ZDRP;20260302;C;;P;20260302;000000000000860775;39.59;7.52;0034;;;;
0900417732;000090;ZDRP;20260302;C;;P;20260302;000000000000860755;34.13;6.48;0034;;;;
0900417732;000100;ZDRP;20260302;C;;P;20260302;SERV.EXTERNO;7200.00;1368.00;0086;;;;
0900417732;000110;ZDRP;20260302;C;;P;20260302;000000000000714453;82.26;15.63;0034;;;;
0900417732;000120;ZDRP;20260302;C;;P;20260302;000000000000936473;7182.04;1364.59;0034;;;;
0900417732;000140;ZDRP;20260302;C;;P;20260302;000000000000859386;10337.77;1964.18;0034;;;;
0900417732;000150;ZDRP;20260302;C;;P;20260302;CS38;13833.25;2628.32;0082;;;;
0900417733;000001;ZBEN;20260302;C;;M;20260302;000000000000977530;252.02;47.88;0102;;;;
0900417734;000010;ZSNB;20260302;C;;M;20260302;000000000000115884;614.30;116.72;0103;;;;
0900417734;000020;ZSNB;20260302;C;;M;20260302;000000000000171739;299.99;57.00;0103;;;;
0900417734;000030;ZSNB;20260302;C;;M;20260302;000000000000156546;61.87;11.76;0103;;;;
0900417734;000040;ZSNB;20260302;C;;M;20260302;000000000000728202;307.15;58.36;0103;;;;
0900417734;000050;ZSNB;20260302;C;;M;20260302;000000000000162956;528.39;100.39;0103;;;;
0900417734;000060;ZSNB;20260302;C;;M;20260302;000000000000164951;705.15;133.97;0103;;;;
0900417736;000010;ZSNB;20260302;C;;M;20260302;000000000001067719;3336.02;633.84;0103;;;;
0900417736;000020;ZSNB;20260302;C;;M;20260302;000000000000786063;19.87;3.78;0103;;;;
0900417737;000010;ZSNB;20260302;C;;M;20260302;000000000000155802;1145.52;217.65;0103;;;;
0900417738;000010;ZSNB;20260302;C;;M;20260302;000000000000818466;5572.17;1058.71;0103;;;;
0900417739;000010;ZSNB;20260302;C;;M;20260302;000000000001057682;104.43;19.84;0024;;;;
0096967316;000010;S1;20260302;C;;N;20260302;000000000001021879;1994.17;378.89;0292;;;;
0900417740;000010;ZSNB;20260302;C;;M;20260302;000000000000859899;88.96;16.90;0114;;;;
0900417740;000020;ZSNB;20260302;C;;M;20260302;000000000000109453;1991.87;378.46;0013;;;;
0900417740;000040;ZSNB;20260302;C;;M;20260302;000000000000103401;107.64;20.45;0013;;;;
0900417740;000060;ZSNB;20260302;C;;M;20260302;000000000000980850;4585.43;871.23;0013;;;;
0900417740;000070;ZSNB;20260302;C;;M;20260302;000000000000743950;275.48;52.34;0013;;;;
0900417740;000080;ZSNB;20260302;C;;M;20260302;000000000000738326;495.87;94.22;0013;;;;
0900417740;000090;ZSNB;20260302;C;;M;20260302;000000000000734494;1034.90;196.63;0013;;;;
0900417740;000100;ZSNB;20260302;C;;M;20260302;000000000000744029;1092.88;207.65;0013;;;;
0900417740;000110;ZSNB;20260302;C;;M;20260302;000000000000116147;1514.70;287.79;0013;;;;
0900417740;000120;ZSNB;20260302;C;;M;20260302;000000000000116147;1514.70;287.79;0013;;;;
0900417742;000030;ZSNB;20260302;C;;M;20260302;000000000000104307;761.58;144.70;0013;;;;
0900417743;000010;S1;20260302;C;;N;20260302;000000000000704190;106.64;20.26;0034;;;;
0900417743;000020;S1;20260302;C;;N;20260302;000000000000705627;31.44;5.97;0034;;;;
0900417743;000030;S1;20260302;C;;N;20260302;000000000000705630;76.94;14.62;0034;;;;
0900417743;000040;S1;20260302;C;;N;20260302;000000000000724714;3807.66;723.46;0034;;;;
0900417743;000050;S1;20260302;C;;N;20260302;000000000000728953;11.84;2.25;0034;;;;
0900417743;000070;S1;20260302;C;;N;20260302;000000000000767206;59.77;11.36;0034;;;;
0900417743;000080;S1;20260302;C;;N;20260302;000000000000767340;445.23;84.59;0034;;;;
0900417743;000090;S1;20260302;C;;N;20260302;000000000000821466;2473.26;469.92;0034;;;;
0900417743;000100;S1;20260302;C;;N;20260302;000000000000850329;19545.76;3713.69;0034;;;;
0900417743;000110;S1;20260302;C;;N;20260302;000000000000859386;10337.77;1964.18;0034;;;;
0900417743;000120;S1;20260302;C;;N;20260302;CS38;8398.18;1595.65;0082;;;;
0900417743;000130;S1;20260302;C;;N;20260302;CS40;3407.04;647.34;0082;;;;
0900417743;000140;S1;20260302;C;;N;20260302;VARIOS_CAM;3300.00;627.00;0027;;;;
0900417743;000150;S1;20260302;C;;N;20260302;000000000001057682;407.43;77.41;0024;;;;
0900417744;000010;ZDBE;20260302;C;;P;20260302;CS51;100.00;19.00;0082;;;;
0900417744;000020;ZDBE;20260302;C;;P;20260302;VARIOS_LIVIANO;26.05;4.95;0027;;;;
0900417745;000010;ZSNB;20260302;C;;M;20260302;000000000001003607;1867.24;354.78;0016;;;;
0900417746;000010;ZSNB;20260302;C;;M;20260302;000000000000857453;1185.48;225.24;0016;;;;
0900417747;000010;ZSNB;20260302;C;;M;20260302;000000000000863888;3112.36;591.35;0016;;;;
0900417750;000010;ZSNB;20260302;C;;M;20260302;000000000000850201;601.46;114.28;0016;;;;
