ITEM_TYPE;BUKRS;KUNNR;BELNR;GJAHR;BLART;BUDAT;BLDAT;WAERS;DMBTR;WRBTR;SHKZG;ZFBDT;ZBD1T;VBELN;ZUONR;SGTXT;AUGDT;AUGBL
CLEARED;1000;96689310-9;0000285751;2024;SA;20240131;20240131;CLP;449.56;449.56;S;20240131;0;;;;20240131;0000285751
CLEARED;1000;96689310-9;0000285768;2024;SA;20240131;20240131;CLP;1092.36;1092.36;S;20240131;0;;;;20240131;0000285768
CLEARED;1000;96689310-9;0000285773;2024;SA;20240131;20240131;CLP;2542.99;2542.99;S;20240131;0;;;;20240131;0000285773
CLEARED;1000;96689310-9;0000285774;2024;SA;20240131;20240131;CLP;1144.97;1144.97;S;20240131;0;;;;20240131;0000285774
CLEARED;1000;96689310-9;0000285775;2024;SA;20240131;20240131;CLP;603.07;603.07;S;20240131;0;;;;20240131;0000285775
CLEARED;1000;96689310-9;0000285776;2024;SA;20240131;20240131;CLP;780.38;780.38;S;20240131;0;;;;20240131;0000285776
CLEARED;1000;96689310-9;0000285779;2024;SA;20240131;20240131;CLP;19.62;19.62;S;20240131;0;;;;20240131;0000285779
CLEARED;1000;96689310-9;0000285781;2024;SA;20240131;20240131;CLP;2103.54;2103.54;S;20240131;0;;;;20240131;0000285781
CLEARED;1000;96689310-9;0000285784;2024;SA;20240131;20240131;CLP;7490.69;7490.69;S;20240131;0;;;;20240131;0000285784
CLEARED;1000;96689310-9;0000285787;2024;SA;20240131;20240131;CLP;2798.42;2798.42;S;20240131;0;;;;20240131;0000285787
CLEARED;1000;96689310-9;0000285788;2024;SA;20240131;20240131;CLP;419.49;419.49;S;20240131;0;;;;20240131;0000285788
CLEARED;1000;96689310-9;0000285789;2024;SA;20240131;20240131;CLP;1236.58;1236.58;S;20240131;0;;;;20240131;0000285789
CLEARED;1000;96689310-9;0000285793;2024;SA;20240131;20240131;CLP;7254.33;7254.33;S;20240131;0;;;;20240131;0000285793
CLEARED;1000;96689310-9;0000285799;2024;SA;20240131;20240131;CLP;530.63;530.63;S;20240131;0;;;;20240131;0000285799
CLEARED;1000;96689310-9;0000285803;2024;SA;20240131;20240131;CLP;3296.09;3296.09;S;20240131;0;;;;20240131;0000285803
CLEARED;1000;96689310-9;0000285805;2024;SA;20240131;20240131;CLP;3753.23;3753.23;S;20240131;0;;;;20240131;0000285805
CLEARED;1000;96689310-9;0000285806;2024;SA;20240131;20240131;CLP;1547.76;1547.76;S;20240131;0;;;;20240131;0000285806
CLEARED;1000;96689310-9;0000285810;2024;SA;20240131;20240131;CLP;2849.90;2849.90;S;20240131;0;;;;20240131;0000285810
CLEARED;1000;96689310-9;0000285814;2024;SA;20240131;20240131;CLP;10737.72;10737.72;S;20240131;0;;;;20240131;0000285814
CLEARED;1000;96689310-9;0000285819;2024;SA;20240131;20240131;CLP;4971.17;4971.17;S;20240131;0;;;;20240131;0000285819
